"{""a_max"":0.8",acc_x_max:10,acc_y_max:10,control_mode:1,damping_ratio:1.414,deadzone_position:0.002,deadzone_velocity:0.0,drawing_force_threshold_high:-0.5,drawing_force_threshold_low:-1.5,driving_force:5,"ds_system_file:""../generated_ds/Worm_Final.onnx""",dz:0.0,eigen_0:150,eigen_1:300,experiment_timelimit:30,initial_cartesian_pose:[0.643059,-0.0290891,-0.765251,0,-0.00427042,-0.999389,0.0344007,0,-0.7658,-0.0188541,-0.642803,0,0.193434,-0.0365801,0.068766,1],initial_joint_pose:[0.31301,0.194648,-0.38795,-2.74978,-0.0270625,2.06228,0.727268],initial_x_ds:-0.98,initial_y_ds:-0.05,max_tank_level:100000,maximum_force:15,maximum_iteration_no:80,move_to_paper_start_time:5,"output_filename:""../result/Recording_""",randomize_initial_pose:false,randomize_radius:0.03,"robot_ip:""192.168.3.100""",rotational_stiffness:[80,80,80],system_scale:4,target_x_ds:0,target_y_ds:0,time_step:0.001,translational_stiffness:[0,0,500],use_gripper:false,v_max:0.15,v_x_max:1,v_y_max:1,velocity_scale:2,z_elevation:0.0}
12038236,0.313515,0.250335,-0.381846,-2.688459,-0.024606,2.028138,0.715083,0.622959,-0.026906,-0.781779,0,0.01058,-0.999017,0.042814,0,-0.782178,-0.034943,-0.622074,0,0.206889,-0.040439,0.065746,1,-0.926182,-0.065434,0.147032,0.029689,0.377671,0.850627,-0.130967,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038237,0.313516,0.250389,-0.381776,-2.688164,-0.024554,2.027957,0.715088,0.623008,-0.026894,-0.78174,0,0.010602,-0.999017,0.042818,0,-0.782139,-0.034965,-0.622123,0,0.207004,-0.040421,0.06577,1,-0.925718,-0.065366,0.147015,0.029778,0.400343,0.860334,-0.14139,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038238,0.313514,0.250432,-0.381697,-2.687867,-0.024499,2.027772,0.715088,0.623064,-0.026869,-0.781697,0,0.01063,-0.999017,0.042812,0,-0.782093,-0.034985,-0.622178,0,0.207124,-0.040401,0.065796,1,-0.925241,-0.065284,0.146998,0.029859,0.404634,0.868591,-0.158406,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038239,0.313519,0.250488,-0.381624,-2.687579,-0.024449,2.027604,0.715088,0.623116,-0.026847,-0.781656,0,0.010664,-0.999017,0.042813,0,-0.782052,-0.035014,-0.622229,0,0.207238,-0.040383,0.065817,1,-0.924784,-0.065211,0.146981,0.029941,0.382089,0.868438,-0.165741,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038240,0.313514,0.250531,-0.381542,-2.687289,-0.024392,2.027437,0.715084,0.62318,-0.026819,-0.781606,0,0.010693,-0.999017,0.042804,0,-0.782,-0.035033,-0.622293,0,0.207357,-0.040362,0.06584,1,-0.924308,-0.065128,0.146965,0.030021,0.34097,0.855033,-0.164712,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038241,0.313513,0.250583,-0.38147,-2.686995,-0.024339,2.027273,0.715081,0.623243,-0.026797,-0.781557,0,0.010719,-0.999016,0.042802,0,-0.78195,-0.035054,-0.622355,0,0.207476,-0.040345,0.065862,1,-0.923833,-0.065058,0.146947,0.030111,0.293166,0.828427,-0.173295,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038242,0.313513,0.250633,-0.381393,-2.686708,-0.024281,2.027106,0.715083,0.6233,-0.026778,-0.781512,0,0.010744,-0.999016,0.0428,0,-0.781904,-0.035075,-0.622411,0,0.207591,-0.040325,0.065884,1,-0.92337,-0.064978,0.146931,0.030189,0.253083,0.796967,-0.193312,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038243,0.313508,0.250677,-0.381314,-2.68641,-0.024227,2.026932,0.715085,0.623364,-0.026757,-0.781462,0,0.010769,-0.999016,0.042796,0,-0.781853,-0.035094,-0.622474,0,0.207713,-0.040305,0.065909,1,-0.922886,-0.064899,0.146913,0.030275,0.229537,0.767813,-0.213077,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038244,0.313505,0.250724,-0.381237,-2.686109,-0.024178,2.026756,0.715086,0.623426,-0.026734,-0.781413,0,0.0108,-0.999016,0.042795,0,-0.781803,-0.03512,-0.622535,0,0.207834,-0.040287,0.065934,1,-0.922399,-0.064826,0.146894,0.030366,0.210752,0.741481,-0.234632,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038245,0.313505,0.250781,-0.381151,-2.685817,-0.024124,2.02658,0.715085,0.623474,-0.026705,-0.781375,0,0.010838,-0.999016,0.042792,0,-0.781764,-0.035149,-0.622583,0,0.207949,-0.040265,0.065956,1,-0.921939,-0.064741,0.146879,0.030439,0.184994,0.713208,-0.26063,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038246,0.313505,0.250829,-0.381075,-2.685528,-0.02407,2.026413,0.715082,0.623533,-0.026679,-0.781329,0,0.010869,-0.999015,0.042786,0,-0.781716,-0.035171,-0.622641,0,0.208066,-0.040246,0.065979,1,-0.921472,-0.064663,0.146862,0.03052,0.144858,0.677104,-0.287909,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038247,0.3135,0.25088,-0.380998,-2.685231,-0.024022,2.026241,0.71508,0.623593,-0.026655,-0.781282,0,0.0109,-0.999015,0.042783,0,-0.781668,-0.035196,-0.6227,0,0.208185,-0.040228,0.066002,1,-0.920995,-0.064593,0.146844,0.03061,0.085104,0.634746,-0.311425,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038248,0.313502,0.250932,-0.380918,-2.684938,-0.023967,2.026071,0.715086,0.623651,-0.026635,-0.781237,0,0.01093,-0.999015,0.042785,0,-0.781622,-0.035223,-0.622758,0,0.208303,-0.040208,0.066024,1,-0.920523,-0.064511,0.146827,0.030689,0.021076,0.593212,-0.321037,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038249,0.3135,0.250983,-0.380838,-2.684634,-0.023912,2.025902,0.715085,0.623718,-0.026611,-0.781184,0,0.01096,-0.999015,0.042782,0,-0.781568,-0.035246,-0.622824,0,0.208427,-0.040188,0.066048,1,-0.920028,-0.064432,0.146808,0.030778,-0.032409,0.559448,-0.311785,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038250,0.313499,0.251041,-0.380766,-2.684328,-0.023859,2.025725,0.715085,0.623775,-0.026594,-0.781139,0,0.010986,-0.999014,0.042784,0,-0.781522,-0.035269,-0.62288,0,0.208549,-0.040171,0.066071,1,-0.919542,-0.064363,0.146789,0.030872,-0.081983,0.5374,-0.286159,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038251,0.313499,0.2511,-0.380688,-2.684037,-0.023806,2.025542,0.715084,0.623815,-0.026572,-0.781108,0,0.011016,-0.999014,0.042782,0,-0.781489,-0.035293,-0.62292,0,0.20866,-0.040152,0.066093,1,-0.919094,-0.064286,0.146773,0.030947,-0.134395,0.526057,-0.251064,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038252,0.313496,0.251152,-0.380612,-2.683728,-0.023755,2.025356,0.715085,0.623873,-0.026551,-0.781062,0,0.011045,-0.999014,0.042781,0,-0.781443,-0.035317,-0.622976,0,0.208784,-0.040134,0.066119,1,-0.918601,-0.064214,0.146753,0.031041,-0.186351,0.5269,-0.221147,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038253,0.313496,0.251214,-0.380533,-2.683423,-0.023703,2.025175,0.715084,0.623924,-0.026528,-0.781022,0,0.011079,-0.999013,0.042782,0,-0.781402,-0.035346,-0.623026,0,0.208903,-0.040115,0.066142,1,-0.918123,-0.064138,0.146735,0.031127,-0.235333,0.543542,-0.204892,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038254,0.313497,0.251277,-0.380451,-2.683113,-0.023652,2.025001,0.715083,0.623982,-0.0265,-0.780977,0,0.011119,-0.999013,0.042783,0,-0.781355,-0.03538,-0.623083,0,0.209026,-0.040095,0.066164,1,-0.917631,-0.064061,0.146716,0.031216,-0.291692,0.569852,-0.193313,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038255,0.313501,0.251332,-0.380385,-2.682807,-0.023601,2.024826,0.715087,0.624044,-0.026487,-0.780928,0,0.011143,-0.999012,0.042788,0,-0.781305,-0.035404,-0.623145,0,0.209149,-0.040079,0.066187,1,-0.917139,-0.063994,0.146695,0.031312,-0.363118,0.598492,-0.179574,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038256,0.313493,0.25139,-0.380308,-2.682509,-0.023551,2.024649,0.715083,0.624095,-0.026465,-0.780888,0,0.011171,-0.999012,0.042785,0,-0.781264,-0.035426,-0.623195,0,0.209266,-0.040062,0.06621,1,-0.916672,-0.063927,0.146676,0.031401,-0.437204,0.631042,-0.171705,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038257,0.313496,0.25146,-0.380232,-2.682206,-0.023501,2.024468,0.715085,0.624139,-0.026446,-0.780854,0,0.011205,-0.999012,0.042791,0,-0.781228,-0.035458,-0.623237,0,0.209382,-0.040044,0.066231,1,-0.916206,-0.063856,0.146658,0.031487,-0.501843,0.666122,-0.177011,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038258,0.313498,0.251513,-0.380162,-2.681904,-0.02345,2.024279,0.715086,0.624187,-0.026427,-0.780816,0,0.011233,-0.999011,0.042792,0,-0.781189,-0.035481,-0.623285,0,0.209501,-0.040026,0.066257,1,-0.915733,-0.063784,0.146639,0.031574,-0.554666,0.69743,-0.195772,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038259,0.313498,0.251579,-0.380076,-2.681602,-0.023405,2.024094,0.715087,0.624229,-0.026398,-0.780783,0,0.011279,-0.999011,0.042794,0,-0.781155,-0.03552,-0.623325,0,0.209616,-0.040006,0.066279,1,-0.91527,-0.063706,0.146622,0.031653,-0.598287,0.721931,-0.225482,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038260,0.313502,0.251638,-0.380004,-2.681308,-0.023358,2.023905,0.715085,0.624267,-0.026374,-0.780753,0,0.011314,-0.99901,0.042794,0,-0.781124,-0.035549,-0.623363,0,0.209729,-0.039989,0.066303,1,-0.91482,-0.063634,0.146605,0.031733,-0.632543,0.742915,-0.263363,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038261,0.313501,0.251699,-0.37993,-2.681009,-0.023313,2.023719,0.715088,0.62431,-0.026355,-0.78072,0,0.011348,-0.99901,0.042799,0,-0.781089,-0.03558,-0.623405,0,0.209844,-0.039972,0.066326,1,-0.914359,-0.063567,0.146586,0.03182,-0.647325,0.769686,-0.3137,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038262,0.3135,0.251764,-0.379849,-2.680712,-0.023261,2.023527,0.71509,0.624342,-0.026335,-0.780694,0,0.01138,-0.999009,0.0428,0,-0.781063,-0.035607,-0.623436,0,0.209956,-0.039952,0.066349,1,-0.913913,-0.063489,0.14657,0.031894,-0.638961,0.804242,-0.379883,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038263,0.313502,0.251823,-0.379775,-2.680412,-0.023215,2.02333,0.715085,0.624379,-0.026307,-0.780666,0,0.011419,-0.999009,0.042798,0,-0.781034,-0.035637,-0.623471,0,0.21007,-0.039934,0.066375,1,-0.913457,-0.063417,0.146552,0.031976,-0.614155,0.841814,-0.455578,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038264,0.313506,0.251894,-0.379694,-2.680127,-0.023168,2.02313,0.715085,0.624393,-0.026281,-0.780656,0,0.011461,-0.999008,0.042799,0,-0.781022,-0.035671,-0.623484,0,0.210172,-0.039915,0.066397,1,-0.913046,-0.063338,0.146538,0.032039,-0.576509,0.880097,-0.519157,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038265,0.313509,0.251965,-0.379618,-2.679823,-0.023121,2.022925,0.715083,0.624416,-0.026257,-0.780638,0,0.011501,-0.999008,0.042801,0,-0.781003,-0.035705,-0.623506,0,0.210284,-0.039897,0.066421,1,-0.912602,-0.063266,0.146521,0.032118,-0.53113,0.916984,-0.542675,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038266,0.313509,0.252035,-0.379541,-2.679528,-0.023072,2.022727,0.715088,0.62444,-0.026243,-0.780619,0,0.01153,-0.999007,0.042808,0,-0.780983,-0.035732,-0.623529,0,0.210392,-0.039879,0.066443,1,-0.912168,-0.063194,0.146505,0.032193,-0.488012,0.951694,-0.518728,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038267,0.313511,0.252101,-0.379457,-2.679248,-0.023023,2.022534,0.715089,0.624458,-0.026216,-0.780606,0,0.011572,-0.999007,0.042808,0,-0.780968,-0.035766,-0.623546,0,0.210494,-0.039858,0.066465,1,-0.91176,-0.06311,0.146492,0.032251,-0.442071,0.979771,-0.460914,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038268,0.313508,0.252169,-0.379379,-2.678951,-0.022973,2.02234,0.715086,0.624487,-0.026193,-0.780583,0,0.011605,-0.999006,0.042807,0,-0.780944,-0.035792,-0.623575,0,0.210605,-0.039839,0.066488,1,-0.911318,-0.063037,0.146475,0.032329,-0.382045,0.998107,-0.39546,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038269,0.313506,0.252235,-0.379295,-2.678662,-0.022922,2.022149,0.715085,0.624514,-0.026168,-0.780563,0,0.011643,-0.999006,0.042806,0,-0.780922,-0.035821,-0.623601,0,0.210712,-0.039819,0.06651,1,-0.91089,-0.062956,0.14646,0.032396,-0.31536,1.006338,-0.340685,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038270,0.313507,0.252308,-0.37921,-2.67836,-0.022876,2.021952,0.715082,0.624541,-0.026137,-0.780542,0,0.01169,-0.999005,0.042806,0,-0.780899,-0.03586,-0.623627,0,0.210824,-0.0398,0.066533,1,-0.910442,-0.062878,0.146443,0.032471,-0.255303,0.999971,-0.293866,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038271,0.313509,0.252377,-0.379127,-2.678062,-0.022822,2.02175,0.715083,0.624565,-0.026114,-0.780524,0,0.011726,-0.999005,0.042807,0,-0.78088,-0.035889,-0.623649,0,0.210933,-0.039778,0.066556,1,-0.910005,-0.062794,0.146428,0.032538,-0.209326,0.980965,-0.25529,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038272,0.313511,0.252445,-0.379043,-2.677764,-0.022774,2.021561,0.715088,0.624599,-0.026091,-0.780497,0,0.011767,-0.999004,0.042812,0,-0.780852,-0.035925,-0.623682,0,0.211045,-0.039758,0.066579,1,-0.909555,-0.062713,0.146412,0.032612,-0.176054,0.954209,-0.23362,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038273,0.313509,0.252517,-0.378962,-2.677473,-0.022724,2.021377,0.715087,0.624628,-0.026068,-0.780475,0,0.011803,-0.999004,0.042813,0,-0.780828,-0.035955,-0.62371,0,0.211153,-0.039739,0.066599,1,-0.909124,-0.062637,0.146396,0.032684,-0.147253,0.923594,-0.224239,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038274,0.313506,0.252584,-0.378885,-2.677183,-0.02267,2.021189,0.715086,0.624659,-0.02605,-0.780451,0,0.01183,-0.999003,0.042813,0,-0.780804,-0.035977,-0.62374,0,0.211262,-0.039721,0.066621,1,-0.908689,-0.062563,0.146379,0.032758,-0.116739,0.897409,-0.211237,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038275,0.313509,0.252651,-0.378801,-2.676891,-0.022615,2.021005,0.715086,0.624693,-0.026024,-0.780425,0,0.011868,-0.999003,0.042812,0,-0.780776,-0.036007,-0.623773,0,0.211372,-0.039699,0.066643,1,-0.908248,-0.062475,0.146364,0.032825,-0.084844,0.877155,-0.188877,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038276,0.313509,0.252726,-0.378712,-2.676588,-0.022561,2.020809,0.715084,0.624721,-0.025995,-0.780403,0,0.01191,-0.999003,0.04281,0,-0.780753,-0.03604,-0.6238,0,0.211484,-0.039677,0.066665,1,-0.9078,-0.062389,0.146349,0.032895,-0.060915,0.857882,-0.164596,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038277,0.313509,0.2528,-0.378638,-2.676291,-0.022504,2.020611,0.715086,0.624742,-0.025984,-0.780386,0,0.011932,-0.999002,0.042815,0,-0.780735,-0.036061,-0.623821,0,0.211592,-0.039659,0.066687,1,-0.90737,-0.062315,0.146332,0.032969,-0.052764,0.84076,-0.14688,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038278,0.313507,0.252884,-0.378548,-2.675993,-0.022442,2.02042,0.715086,0.624764,-0.025963,-0.780369,0,0.011966,-0.999002,0.042816,0,-0.780717,-0.036088,-0.623842,0,0.2117,-0.039637,0.066706,1,-0.906937,-0.062227,0.146318,0.033033,-0.056147,0.828296,-0.131716,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038279,0.313498,0.252958,-0.378469,-2.675693,-0.022381,2.020242,0.715088,0.624804,-0.025954,-0.780337,0,0.01198,-0.999001,0.042819,0,-0.780685,-0.036103,-0.623882,0,0.211813,-0.039619,0.066726,1,-0.906482,-0.062154,0.146299,0.033114,-0.068402,0.822527,-0.112845,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038280,0.313506,0.253036,-0.378385,-2.675399,-0.022322,2.020076,0.715084,0.624846,-0.025924,-0.780305,0,0.012023,-0.999001,0.042818,0,-0.780651,-0.036137,-0.623922,0,0.211925,-0.039596,0.066744,1,-0.906034,-0.062065,0.146284,0.033183,-0.093835,0.824011,-0.092217,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038281,0.313509,0.253114,-0.378299,-2.6751,-0.022262,2.019907,0.715082,0.62489,-0.025898,-0.780271,0,0.012062,-0.999,0.042817,0,-0.780615,-0.036168,-0.623965,0,0.21204,-0.039574,0.066762,1,-0.905576,-0.061977,0.146267,0.033255,-0.12717,0.825956,-0.068356,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038282,0.313506,0.253197,-0.378225,-2.674801,-0.0222,2.01974,0.715081,0.624932,-0.025888,-0.780238,0,0.012081,-0.999,0.042822,0,-0.780581,-0.036188,-0.624006,0,0.212153,-0.039557,0.066779,1,-0.905124,-0.061908,0.146249,0.033337,-0.155723,0.827459,-0.048547,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038283,0.313507,0.253279,-0.378143,-2.674506,-0.022142,2.019568,0.715088,0.624966,-0.025876,-0.780211,0,0.012108,-0.998999,0.042831,0,-0.780553,-0.036216,-0.624039,0,0.212263,-0.039537,0.066797,1,-0.904683,-0.061828,0.146232,0.03341,-0.1723,0.832317,-0.045408,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038284,0.313513,0.253367,-0.378063,-2.674221,-0.022076,2.019391,0.715089,0.624986,-0.025862,-0.780195,0,0.012135,-0.998999,0.042835,0,-0.780536,-0.03624,-0.624059,0,0.212366,-0.039516,0.066813,1,-0.904272,-0.061742,0.146218,0.03347,-0.172576,0.833724,-0.050612,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038285,0.313506,0.253445,-0.377981,-2.673926,-0.022013,2.019214,0.715088,0.62502,-0.025847,-0.780168,0,0.012156,-0.998999,0.042835,0,-0.780509,-0.036257,-0.624092,0,0.212476,-0.039496,0.066833,1,-0.903832,-0.061663,0.146201,0.033543,-0.151948,0.828094,-0.053157,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038286,0.313509,0.253527,-0.377901,-2.673634,-0.021942,2.019045,0.715085,0.625057,-0.025831,-0.780139,0,0.012178,-0.998998,0.042834,0,-0.780479,-0.036274,-0.624129,0,0.212586,-0.039474,0.06685,1,-0.903393,-0.061575,0.146186,0.03361,-0.111253,0.823523,-0.0585,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12038287,0.313515,0.253611,-0.377823,-2.673331,-0.021873,2.018882,0.715081,0.625103,-0.025813,-0.780103,0,0.012204,-0.998998,0.042835,0,-0.780442,-0.036297,-0.624174,0,0.212701,-0.039453,0.066866,1,-0.902931,-0.061491,0.146168,0.033687,-0.067145,0.821351,-0.075624,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
