"{""a_max"":0.8",acc_x_max:10,acc_y_max:10,control_mode:1,damping_ratio:1.414,deadzone_position:0.002,deadzone_velocity:0.0,drawing_force_threshold_high:-0.5,drawing_force_threshold_low:-1.5,driving_force:5,"ds_system_file:""../generated_ds/Sine_Final.onnx""",dz:0.0,eigen_0:150,eigen_1:300,experiment_timelimit:30,initial_cartesian_pose:[0.64614,-0.00222445,-0.763203,0,0.0189551,-0.999631,0.0189613,0,-0.762979,-0.0267188,-0.645871,0,0.201325,-0.0465581,0.0650183,1],initial_joint_pose:[0.385223,0.231564,-0.472899,-2.72404,-0.0195794,2.06941,0.667528],initial_x_ds:-0.9,initial_y_ds:0,max_tank_level:100000,maximum_force:15,maximum_iteration_no:80,move_to_paper_start_time:5,"output_filename:""../result/Recording_""",randomize_initial_pose:false,randomize_radius:0.03,"robot_ip:""192.168.3.100""",rotational_stiffness:[80,80,80],system_scale:4,target_x_ds:0,target_y_ds:0,time_step:0.001,translational_stiffness:[0,0,500],use_gripper:false,v_max:0.15,v_x_max:1,v_y_max:1,velocity_scale:2,z_elevation:0.0}
10269512,0.385338,0.264528,-0.470242,-2.725876,-0.021547,2.059642,0.661485,0.612959,-0.00305,-0.790096,0,0.026966,-0.99932,0.024778,0,-0.78965,-0.036495,-0.612472,0,0.190126,-0.049204,0.060538,1,-0.944795,-0.010585,0.002933,0.068871,-1.384852,-0.349159,-0.976461,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269513,0.385335,0.264522,-0.47024,-2.725878,-0.021548,2.059638,0.661489,0.612959,-0.003051,-0.790097,0,0.026964,-0.99932,0.024778,0,-0.78965,-0.036493,-0.612472,0,0.190126,-0.049204,0.060539,1,-0.944795,-0.010582,0.002931,0.068873,-1.380787,-0.332409,-0.978331,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269514,0.385332,0.264524,-0.470243,-2.725882,-0.021545,2.059641,0.66149,0.612958,-0.003058,-0.790098,0,0.026955,-0.99932,0.02478,0,-0.789651,-0.036487,-0.61247,0,0.190124,-0.049205,0.060538,1,-0.944804,-0.010586,0.00293,0.068875,-1.37327,-0.322661,-0.977976,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269515,0.385335,0.264523,-0.47024,-2.72588,-0.021547,2.05964,0.66149,0.612958,-0.003053,-0.790097,0,0.026962,-0.99932,0.024779,0,-0.78965,-0.036492,-0.612471,0,0.190125,-0.049203,0.060538,1,-0.9448,-0.010582,0.00293,0.068876,-1.361587,-0.318034,-0.976742,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269516,0.38533,0.264523,-0.470245,-2.725879,-0.021545,2.059641,0.661485,0.61296,-0.003056,-0.790095,0,0.026954,-0.99932,0.024776,0,-0.789649,-0.036484,-0.612473,0,0.190125,-0.049206,0.060538,1,-0.944798,-0.01059,0.002934,0.068869,-1.348988,-0.316887,-0.973386,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269517,0.385338,0.264527,-0.470245,-2.72588,-0.021546,2.059636,0.661485,0.612953,-0.003053,-0.790102,0,0.026962,-0.99932,0.024778,0,-0.789655,-0.036491,-0.612465,0,0.190123,-0.049205,0.060538,1,-0.944807,-0.010586,0.00293,0.068876,-1.337791,-0.317418,-0.968369,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269518,0.385335,0.264521,-0.470243,-2.72588,-0.021547,2.059639,0.661485,0.61296,-0.00305,-0.790096,0,0.026962,-0.99932,0.024775,0,-0.789649,-0.036489,-0.612473,0,0.190126,-0.049204,0.060539,1,-0.944798,-0.010584,0.002931,0.068873,-1.327641,-0.321507,-0.96251,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269519,0.38534,0.264523,-0.470242,-2.725874,-0.021545,2.059641,0.661488,0.612964,-0.00305,-0.790093,0,0.026966,-0.99932,0.024778,0,-0.789646,-0.036494,-0.612477,0,0.190129,-0.049203,0.060539,1,-0.944785,-0.01058,0.002933,0.06887,-1.319888,-0.331524,-0.960266,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269520,0.385335,0.264526,-0.470245,-2.725877,-0.021546,2.059639,0.661487,0.612959,-0.003055,-0.790097,0,0.026959,-0.99932,0.024779,0,-0.78965,-0.036489,-0.612471,0,0.190126,-0.049205,0.060538,1,-0.944797,-0.010588,0.002933,0.06887,-1.316394,-0.345182,-0.959491,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269521,0.385338,0.264521,-0.470243,-2.725881,-0.021547,2.05964,0.66149,0.61296,-0.003053,-0.790096,0,0.026962,-0.99932,0.024778,0,-0.789649,-0.036492,-0.612472,0,0.190125,-0.049203,0.060539,1,-0.9448,-0.010581,0.00293,0.068876,-1.313919,-0.358446,-0.955919,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269522,0.385338,0.264525,-0.470243,-2.725882,-0.021546,2.05964,0.661485,0.612956,-0.00305,-0.790099,0,0.026964,-0.99932,0.024777,0,-0.789653,-0.036492,-0.612468,0,0.190123,-0.049204,0.060538,1,-0.944806,-0.010583,0.002928,0.068878,-1.30968,-0.371235,-0.950375,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269523,0.385338,0.264527,-0.470245,-2.725875,-0.021546,2.059643,0.661485,0.612962,-0.003053,-0.790095,0,0.026963,-0.99932,0.024779,0,-0.789648,-0.036492,-0.612474,0,0.190127,-0.049205,0.060538,1,-0.944791,-0.010587,0.002935,0.068868,-1.307633,-0.383094,-0.942264,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269524,0.38534,0.264524,-0.470243,-2.725879,-0.021546,2.059638,0.661487,0.612957,-0.00305,-0.790098,0,0.026965,-0.99932,0.024778,0,-0.789651,-0.036493,-0.61247,0,0.190125,-0.049203,0.060539,1,-0.944799,-0.01058,0.00293,0.068876,-1.311316,-0.392591,-0.934163,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269525,0.38534,0.264523,-0.470242,-2.725878,-0.02155,2.059639,0.661486,0.61296,-0.003046,-0.790096,0,0.026971,-0.999319,0.024777,0,-0.789649,-0.036498,-0.612472,0,0.190126,-0.049204,0.060539,1,-0.944794,-0.010582,0.002932,0.068873,-1.317265,-0.401944,-0.929677,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269526,0.385337,0.264525,-0.470245,-2.725877,-0.021547,2.059641,0.661486,0.61296,-0.003053,-0.790096,0,0.026962,-0.99932,0.024779,0,-0.789649,-0.036492,-0.612473,0,0.190126,-0.049205,0.060538,1,-0.944795,-0.010587,0.002934,0.06887,-1.321548,-0.409606,-0.928411,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269527,0.385338,0.264526,-0.470247,-2.725876,-0.021546,2.059641,0.66148,0.61296,-0.003048,-0.790096,0,0.026965,-0.99932,0.024774,0,-0.789649,-0.036491,-0.612473,0,0.190127,-0.049205,0.060538,1,-0.944794,-0.010588,0.002934,0.068869,-1.324293,-0.410765,-0.928609,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269528,0.385336,0.264523,-0.470243,-2.725875,-0.02155,2.059638,0.661481,0.612961,-0.003044,-0.790095,0,0.02697,-0.99932,0.024773,0,-0.789648,-0.036494,-0.612474,0,0.190128,-0.049205,0.060539,1,-0.944789,-0.010586,0.002935,0.068868,-1.326853,-0.407573,-0.930192,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269529,0.385338,0.264521,-0.47024,-2.725874,-0.02155,2.059639,0.661483,0.612963,-0.003042,-0.790094,0,0.026973,-0.99932,0.024774,0,-0.789647,-0.036497,-0.612475,0,0.190129,-0.049203,0.060539,1,-0.944786,-0.010581,0.002934,0.06887,-1.329013,-0.406022,-0.93536,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269530,0.385336,0.264523,-0.470239,-2.725879,-0.021548,2.05964,0.661484,0.612959,-0.003045,-0.790096,0,0.026969,-0.99932,0.024774,0,-0.78965,-0.036494,-0.612472,0,0.190126,-0.049203,0.060538,1,-0.944797,-0.010581,0.00293,0.068875,-1.329337,-0.408661,-0.942045,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269531,0.38534,0.264524,-0.470242,-2.725875,-0.02155,2.059641,0.661486,0.612963,-0.003046,-0.790094,0,0.026971,-0.999319,0.024777,0,-0.789647,-0.036498,-0.612475,0,0.190128,-0.049204,0.060538,1,-0.944787,-0.010583,0.002934,0.068869,-1.328104,-0.414633,-0.94543,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269532,0.385336,0.264526,-0.470248,-2.725879,-0.02155,2.059637,0.661484,0.612955,-0.003052,-0.7901,0,0.026962,-0.99932,0.024778,0,-0.789653,-0.036491,-0.612468,0,0.190124,-0.049206,0.060539,1,-0.944803,-0.010591,0.002933,0.068871,-1.326476,-0.41924,-0.942981,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269533,0.38534,0.26452,-0.470241,-2.725878,-0.021547,2.059636,0.661481,0.612959,-0.00304,-0.790097,0,0.026973,-0.99932,0.024771,0,-0.78965,-0.036495,-0.612472,0,0.190127,-0.049203,0.060539,1,-0.944794,-0.010578,0.00293,0.068875,-1.323748,-0.420505,-0.937376,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269534,0.385338,0.264523,-0.470244,-2.725874,-0.021546,2.05964,0.661481,0.612963,-0.003046,-0.790093,0,0.026966,-0.99932,0.024774,0,-0.789647,-0.036492,-0.612476,0,0.190128,-0.049204,0.060539,1,-0.944787,-0.010584,0.002935,0.068868,-1.320822,-0.42188,-0.933634,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269535,0.385335,0.26453,-0.470243,-2.725876,-0.021546,2.059637,0.661487,0.612955,-0.003055,-0.7901,0,0.026961,-0.99932,0.02478,0,-0.789653,-0.036491,-0.612467,0,0.190125,-0.049205,0.060538,1,-0.944801,-0.010587,0.002932,0.068873,-1.320222,-0.422717,-0.928769,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269536,0.385338,0.264518,-0.470245,-2.72588,-0.02155,2.059637,0.661486,0.61296,-0.003048,-0.790096,0,0.026966,-0.99932,0.024775,0,-0.789649,-0.036492,-0.612473,0,0.190126,-0.049204,0.06054,1,-0.944796,-0.010584,0.002932,0.068872,-1.320514,-0.421022,-0.923343,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269537,0.38534,0.264525,-0.470242,-2.725877,-0.021547,2.059644,0.661486,0.612962,-0.003048,-0.790094,0,0.026968,-0.99932,0.024777,0,-0.789647,-0.036496,-0.612475,0,0.190127,-0.049204,0.060538,1,-0.944792,-0.010582,0.002932,0.068872,-1.319802,-0.419228,-0.923951,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269538,0.385333,0.264526,-0.470242,-2.725875,-0.02155,2.059639,0.661478,0.61296,-0.003043,-0.790096,0,0.02697,-0.99932,0.024772,0,-0.789649,-0.036494,-0.612472,0,0.190127,-0.049205,0.060538,1,-0.944792,-0.010589,0.002935,0.068867,-1.320411,-0.418185,-0.926953,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269539,0.38534,0.264521,-0.470243,-2.725875,-0.021547,2.059641,0.661484,0.612965,-0.003045,-0.790092,0,0.026969,-0.99932,0.024775,0,-0.789645,-0.036495,-0.612477,0,0.190129,-0.049203,0.060539,1,-0.944784,-0.010581,0.002934,0.068869,-1.323835,-0.417237,-0.929262,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269540,0.385343,0.264521,-0.470242,-2.725875,-0.021546,2.05964,0.661487,0.612965,-0.003046,-0.790092,0,0.026971,-0.999319,0.024777,0,-0.789645,-0.036497,-0.612477,0,0.190129,-0.049202,0.060539,1,-0.944784,-0.010577,0.002933,0.068872,-1.328551,-0.418821,-0.933063,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269541,0.385333,0.264523,-0.470235,-2.725875,-0.021549,2.059641,0.661483,0.612963,-0.003042,-0.790094,0,0.026972,-0.99932,0.024773,0,-0.789647,-0.036496,-0.612475,0,0.190128,-0.049203,0.060538,1,-0.944787,-0.01058,0.002933,0.068871,-1.332421,-0.423847,-0.93666,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269542,0.38534,0.264526,-0.470242,-2.725879,-0.021548,2.059641,0.661486,0.612958,-0.003048,-0.790097,0,0.026969,-0.99932,0.024778,0,-0.78965,-0.036496,-0.61247,0,0.190125,-0.049204,0.060538,1,-0.944799,-0.010582,0.00293,0.068875,-1.333158,-0.428839,-0.936799,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269543,0.385336,0.264526,-0.470243,-2.72588,-0.021546,2.059642,0.661486,0.612958,-0.003052,-0.790097,0,0.026962,-0.99932,0.024777,0,-0.789651,-0.036491,-0.61247,0,0.190125,-0.049204,0.060538,1,-0.944802,-0.010585,0.002931,0.068875,-1.329742,-0.430463,-0.932156,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269544,0.38534,0.264524,-0.470244,-2.725876,-0.021546,2.059641,0.661481,0.612962,-0.003046,-0.790094,0,0.026967,-0.99932,0.024774,0,-0.789648,-0.036493,-0.612475,0,0.190127,-0.049204,0.060538,1,-0.944791,-0.010583,0.002933,0.068871,-1.324815,-0.428296,-0.925525,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269545,0.385343,0.264523,-0.470242,-2.72588,-0.021547,2.059641,0.661481,0.61296,-0.003041,-0.790096,0,0.026973,-0.99932,0.024773,0,-0.789649,-0.036497,-0.612472,0,0.190126,-0.049203,0.060538,1,-0.944797,-0.010578,0.002929,0.068877,-1.32211,-0.426407,-0.920925,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269546,0.385338,0.264524,-0.47024,-2.725878,-0.021547,2.059641,0.661481,0.612961,-0.003042,-0.790095,0,0.026971,-0.99932,0.024772,0,-0.789648,-0.036495,-0.612473,0,0.190127,-0.049203,0.060538,1,-0.944794,-0.01058,0.002931,0.068874,-1.321101,-0.426907,-0.918725,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269547,0.385336,0.264523,-0.470244,-2.725874,-0.021551,2.059641,0.661487,0.612964,-0.003051,-0.790093,0,0.026965,-0.99932,0.024779,0,-0.789646,-0.036494,-0.612476,0,0.190128,-0.049205,0.060539,1,-0.944786,-0.010588,0.002937,0.068865,-1.320959,-0.425821,-0.918297,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269548,0.385338,0.264524,-0.470235,-2.725884,-0.021548,2.059641,0.661486,0.612955,-0.003044,-0.7901,0,0.026972,-0.999319,0.024775,0,-0.789653,-0.036497,-0.612468,0,0.190123,-0.049202,0.060538,1,-0.944808,-0.010575,0.002925,0.068884,-1.320708,-0.423429,-0.918468,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269549,0.385336,0.264523,-0.470242,-2.725878,-0.021547,2.05964,0.66148,0.61296,-0.003045,-0.790096,0,0.026967,-0.99932,0.024772,0,-0.789649,-0.036492,-0.612473,0,0.190126,-0.049204,0.060539,1,-0.944794,-0.010584,0.002932,0.068872,-1.31857,-0.422263,-0.917761,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269550,0.385335,0.264523,-0.47024,-2.725879,-0.021546,2.059637,0.661482,0.612957,-0.003046,-0.790098,0,0.026965,-0.99932,0.024773,0,-0.789652,-0.036491,-0.612469,0,0.190125,-0.049203,0.060539,1,-0.9448,-0.010581,0.002929,0.068876,-1.316686,-0.419702,-0.919253,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269551,0.385335,0.264526,-0.470242,-2.725877,-0.021548,2.059637,0.661485,0.612956,-0.003049,-0.790099,0,0.026965,-0.99932,0.024776,0,-0.789652,-0.036493,-0.612469,0,0.190125,-0.049204,0.060538,1,-0.944798,-0.010585,0.002932,0.068873,-1.31768,-0.414753,-0.922848,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269552,0.385338,0.264523,-0.470243,-2.725877,-0.021547,2.059638,0.661484,0.612959,-0.003047,-0.790097,0,0.026967,-0.99932,0.024775,0,-0.78965,-0.036493,-0.612472,0,0.190126,-0.049204,0.060539,1,-0.944795,-0.010582,0.002932,0.068873,-1.32172,-0.409674,-0.925947,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269553,0.385333,0.264528,-0.470242,-2.725877,-0.021545,2.05964,0.661486,0.612957,-0.003054,-0.790098,0,0.02696,-0.99932,0.024778,0,-0.789652,-0.03649,-0.612469,0,0.190125,-0.049205,0.060538,1,-0.944799,-0.010587,0.002932,0.068872,-1.32744,-0.405556,-0.927391,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269554,0.385343,0.264523,-0.470235,-2.725878,-0.021549,2.05964,0.661483,0.612959,-0.003036,-0.790096,0,0.026982,-0.999319,0.024773,0,-0.789649,-0.036504,-0.612472,0,0.190127,-0.049201,0.060538,1,-0.944793,-0.010573,0.002928,0.068879,-1.333892,-0.405213,-0.915627,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269555,0.385335,0.264526,-0.470242,-2.72588,-0.02155,2.05964,0.661484,0.612956,-0.003049,-0.790099,0,0.026967,-0.99932,0.024777,0,-0.789652,-0.036495,-0.612469,0,0.190124,-0.049205,0.060538,1,-0.944802,-0.010587,0.002931,0.068873,-1.339876,-0.407516,-0.879514,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269556,0.385338,0.264528,-0.470239,-2.725879,-0.021548,2.05964,0.661482,0.612955,-0.003043,-0.7901,0,0.026973,-0.999319,0.024774,0,-0.789653,-0.036497,-0.612467,0,0.190124,-0.049203,0.060538,1,-0.944803,-0.010581,0.002929,0.068878,-1.342377,-0.40757,-0.837893,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269557,0.385341,0.264526,-0.470245,-2.725881,-0.021551,2.05964,0.661485,0.612955,-0.003047,-0.7901,0,0.02697,-0.999319,0.024778,0,-0.789653,-0.036497,-0.612467,0,0.190124,-0.049204,0.060538,1,-0.944806,-0.010586,0.00293,0.068876,-1.340374,-0.407945,-0.821633,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269558,0.385336,0.264528,-0.470238,-2.725878,-0.02155,2.059638,0.661485,0.612954,-0.003046,-0.7901,0,0.026971,-0.999319,0.024777,0,-0.789653,-0.036498,-0.612467,0,0.190125,-0.049204,0.060538,1,-0.944801,-0.010583,0.00293,0.068875,-1.336714,-0.41029,-0.832322,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269559,0.385341,0.264526,-0.470242,-2.725882,-0.021547,2.059639,0.661481,0.612954,-0.003043,-0.790101,0,0.026972,-0.99932,0.024774,0,-0.789654,-0.036496,-0.612466,0,0.190123,-0.049203,0.060538,1,-0.944807,-0.010581,0.002927,0.06888,-1.333882,-0.41304,-0.854478,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269560,0.385341,0.264526,-0.47024,-2.725882,-0.02155,2.059639,0.661481,0.612954,-0.00304,-0.790101,0,0.026977,-0.999319,0.024773,0,-0.789654,-0.0365,-0.612466,0,0.190123,-0.049203,0.060538,1,-0.944807,-0.01058,0.002927,0.06888,-1.331332,-0.417878,-0.879824,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269561,0.385332,0.264523,-0.470237,-2.725878,-0.021548,2.059642,0.661481,0.612961,-0.003043,-0.790095,0,0.026969,-0.99932,0.024772,0,-0.789648,-0.036493,-0.612473,0,0.190126,-0.049204,0.060538,1,-0.944794,-0.010582,0.002932,0.068873,-1.329208,-0.422965,-0.905862,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269562,0.385338,0.264526,-0.470245,-2.725879,-0.02155,2.059641,0.661479,0.612958,-0.003044,-0.790098,0,0.026971,-0.99932,0.024774,0,-0.789651,-0.036495,-0.61247,0,0.190125,-0.049205,0.060538,1,-0.9448,-0.010587,0.002932,0.068872,-1.32862,-0.423074,-0.930796,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269563,0.385338,0.264526,-0.470242,-2.725875,-0.021548,2.05964,0.661482,0.612961,-0.003045,-0.790095,0,0.02697,-0.99932,0.024775,0,-0.789648,-0.036496,-0.612473,0,0.190127,-0.049204,0.060538,1,-0.94479,-0.010584,0.002933,0.06887,-1.330283,-0.418992,-0.950604,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269564,0.385338,0.264526,-0.47024,-2.725882,-0.02155,2.05964,0.661484,0.612955,-0.003045,-0.7901,0,0.026971,-0.999319,0.024776,0,-0.789653,-0.036497,-0.612468,0,0.190124,-0.049204,0.060538,1,-0.944806,-0.010582,0.002928,0.068878,-1.333044,-0.415904,-0.962657,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269565,0.385341,0.264528,-0.47024,-2.725877,-0.02155,2.05964,0.66148,0.612957,-0.003039,-0.790098,0,0.026978,-0.999319,0.024774,0,-0.789651,-0.036501,-0.61247,0,0.190126,-0.049204,0.060538,1,-0.944797,-0.010582,0.002931,0.068874,-1.335319,-0.415754,-0.968103,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269566,0.385338,0.264527,-0.470242,-2.725877,-0.021552,2.059641,0.661478,0.612958,-0.003039,-0.790097,0,0.026976,-0.999319,0.024772,0,-0.78965,-0.036499,-0.612471,0,0.190126,-0.049205,0.060538,1,-0.944796,-0.010586,0.002933,0.068871,-1.338661,-0.416685,-0.969831,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269567,0.385339,0.264526,-0.47024,-2.725877,-0.021551,2.059639,0.661481,0.612957,-0.003041,-0.790098,0,0.026976,-0.999319,0.024774,0,-0.789651,-0.036499,-0.61247,0,0.190126,-0.049204,0.060538,1,-0.944797,-0.010582,0.002931,0.068874,-1.34328,-0.417069,-0.969604,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
