"{""a_max"":0.8",acc_x_max:10,acc_y_max:10,control_mode:1,damping_ratio:1.414,deadzone_position:0.002,deadzone_velocity:0.0,drawing_force_threshold_high:-0.5,drawing_force_threshold_low:-1.5,driving_force:5,"ds_system_file:""../generated_ds/Angle_Final.onnx""",dz:0.0,eigen_0:150,eigen_1:300,experiment_timelimit:30,initial_cartesian_pose:[0.670986,0.0174283,-0.741252,0,0.00957798,-0.999834,-0.014838,0,-0.741402,0.00285647,-0.671055,0,0.243195,-0.0934624,0.0792969,1],initial_joint_pose:[0.252836,0.250632,-0.47312,-2.5972,-0.080722,2.00457,0.578335],initial_x_ds:-0.9,initial_y_ds:0,max_tank_level:100000,maximum_force:15,maximum_iteration_no:80,move_to_paper_start_time:5,"output_filename:""../result/Recording_""",randomize_initial_pose:false,randomize_radius:0.03,"robot_ip:""192.168.3.100""",rotational_stiffness:[80,80,80],system_scale:5.747,target_x_ds:0,target_y_ds:0,time_step:0.001,translational_stiffness:[0,0,500],use_gripper:false,v_max:0.15,v_x_max:1,v_y_max:1,velocity_scale:2,z_elevation:0.0}
5182553,0.254959,0.295384,-0.470349,-2.596815,-0.080432,2.005464,0.577359,0.639027,0.013452,-0.769054,0,0.014482,-0.999871,-0.005456,0,-0.769043,-0.007651,-0.639152,0,0.232796,-0.09507,0.069875,1,-0.959764,-0.009238,0.082752,0.125108,-0.94312,-0.223389,0.474056,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182554,0.254959,0.295457,-0.470351,-2.596817,-0.080431,2.005501,0.577346,0.638999,0.013449,-0.769077,0,0.014493,-0.999871,-0.005443,0,-0.769066,-0.007668,-0.639124,0,0.232783,-0.095077,0.069856,1,-0.959836,-0.009276,0.082748,0.125111,-0.952729,-0.244509,0.488794,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182555,0.254959,0.295532,-0.470351,-2.596814,-0.080432,2.005539,0.577342,0.638974,0.01344,-0.769098,0,0.014503,-0.99987,-0.005423,0,-0.769087,-0.007689,-0.639098,0,0.232773,-0.095083,0.069837,1,-0.959894,-0.009316,0.082745,0.125113,-0.961494,-0.265678,0.487763,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182556,0.254957,0.295611,-0.470349,-2.596814,-0.080432,2.005584,0.577326,0.638948,0.013441,-0.76912,0,0.014519,-0.99987,-0.005411,0,-0.769107,-0.00771,-0.639073,0,0.232762,-0.09509,0.069817,1,-0.959959,-0.009356,0.082741,0.125116,-0.969358,-0.284322,0.472581,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182557,0.254962,0.295683,-0.470351,-2.596812,-0.080431,2.005628,0.577323,0.638931,0.013431,-0.769135,0,0.01453,-0.99987,-0.00539,0,-0.769122,-0.007732,-0.639055,0,0.232754,-0.095097,0.069798,1,-0.960003,-0.009392,0.082738,0.125118,-0.977831,-0.294182,0.45292,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182558,0.25496,0.295756,-0.470351,-2.596816,-0.080432,2.00567,0.57731,0.638903,0.013429,-0.769157,0,0.014543,-0.99987,-0.005377,0,-0.769144,-0.00775,-0.639028,0,0.232741,-0.095103,0.069778,1,-0.960078,-0.009429,0.082733,0.125121,-0.9834,-0.290547,0.422058,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182559,0.254955,0.295832,-0.470343,-2.59682,-0.080433,2.005714,0.577301,0.638877,0.013429,-0.769179,0,0.014559,-0.99987,-0.005364,0,-0.769166,-0.007772,-0.639002,0,0.232729,-0.095109,0.069758,1,-0.96015,-0.009461,0.082729,0.125124,-0.982428,-0.281443,0.374912,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182560,0.254959,0.295899,-0.470344,-2.596817,-0.080432,2.005755,0.577288,0.638859,0.01343,-0.769194,0,0.014576,-0.99987,-0.005351,0,-0.76918,-0.007794,-0.638984,0,0.232722,-0.095114,0.069741,1,-0.96019,-0.009492,0.082727,0.125125,-0.970492,-0.279201,0.316544,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182561,0.254959,0.295975,-0.470343,-2.596814,-0.080432,2.005799,0.577275,0.638838,0.013429,-0.769211,0,0.014592,-0.99987,-0.005337,0,-0.769198,-0.007815,-0.638963,0,0.232713,-0.095121,0.069721,1,-0.960241,-0.009532,0.082723,0.125127,-0.945231,-0.287108,0.248709,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182562,0.25496,0.296045,-0.47034,-2.596817,-0.080433,2.005839,0.57727,0.638813,0.013424,-0.769232,0,0.014605,-0.99987,-0.00532,0,-0.769218,-0.007836,-0.638938,0,0.232702,-0.095126,0.069703,1,-0.960304,-0.009562,0.08272,0.12513,-0.909652,-0.302746,0.176606,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182563,0.254959,0.296124,-0.470343,-2.59682,-0.080432,2.005885,0.577256,0.638787,0.013421,-0.769254,0,0.014617,-0.999869,-0.005306,0,-0.769239,-0.007855,-0.638912,0,0.232689,-0.095134,0.069682,1,-0.960378,-0.009604,0.082715,0.125133,-0.865771,-0.323843,0.113177,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182564,0.254964,0.296188,-0.470343,-2.596815,-0.080431,2.005924,0.577252,0.638773,0.013414,-0.769266,0,0.014629,-0.999869,-0.005288,0,-0.769251,-0.007876,-0.638898,0,0.232684,-0.095139,0.069665,1,-0.960409,-0.009634,0.082713,0.125134,-0.821394,-0.345858,0.064879,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182565,0.254959,0.296272,-0.47034,-2.59682,-0.080431,2.005966,0.577239,0.638739,0.013412,-0.769294,0,0.014642,-0.999869,-0.005274,0,-0.769279,-0.007895,-0.638864,0,0.232668,-0.095146,0.069644,1,-0.960498,-0.009674,0.082708,0.125138,-0.788241,-0.366259,0.035694,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182566,0.254959,0.296343,-0.470344,-2.596819,-0.080434,2.006003,0.577223,0.638713,0.013412,-0.769316,0,0.014656,-0.999869,-0.005263,0,-0.769301,-0.007914,-0.638838,0,0.232657,-0.095154,0.069626,1,-0.960562,-0.00972,0.082704,0.12514,-0.772799,-0.384115,0.041297,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182567,0.254962,0.296412,-0.47034,-2.596821,-0.080433,2.006042,0.577215,0.638689,0.013411,-0.769335,0,0.014673,-0.999869,-0.005249,0,-0.76932,-0.007936,-0.638815,0,0.232647,-0.095158,0.069608,1,-0.96062,-0.009743,0.0827,0.125143,-0.774656,-0.398435,0.07853,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182568,0.25496,0.296493,-0.470337,-2.596818,-0.080432,2.006078,0.577206,0.638657,0.013405,-0.769362,0,0.014684,-0.999869,-0.005232,0,-0.769346,-0.007956,-0.638783,0,0.232635,-0.095164,0.069588,1,-0.96069,-0.009781,0.082696,0.125145,-0.789067,-0.410775,0.128416,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182569,0.254954,0.296564,-0.470342,-2.596817,-0.080432,2.006114,0.577198,0.638634,0.013392,-0.769382,0,0.014683,-0.999869,-0.005215,0,-0.769366,-0.007967,-0.638759,0,0.232624,-0.095173,0.06957,1,-0.960754,-0.009832,0.082692,0.125148,-0.811628,-0.417487,0.182964,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182570,0.25496,0.296636,-0.470339,-2.596817,-0.080432,2.006152,0.57719,0.638608,0.013392,-0.769403,0,0.014703,-0.999869,-0.0052,0,-0.769386,-0.007992,-0.638734,0,0.232614,-0.095178,0.069552,1,-0.96081,-0.009857,0.082689,0.12515,-0.838904,-0.415914,0.234718,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182571,0.254965,0.296713,-0.470339,-2.596817,-0.080432,2.006186,0.577173,0.638576,0.013397,-0.76943,0,0.014723,-0.999869,-0.00519,0,-0.769413,-0.008015,-0.638701,0,0.232601,-0.095183,0.069532,1,-0.960882,-0.009887,0.082684,0.125153,-0.869363,-0.413681,0.278833,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182572,0.254962,0.296787,-0.470342,-2.596813,-0.080433,2.00622,0.577164,0.63855,0.013388,-0.769452,0,0.014731,-0.999868,-0.005173,0,-0.769434,-0.008032,-0.638675,0,0.232591,-0.095191,0.069515,1,-0.96094,-0.009935,0.082681,0.125155,-0.900185,-0.414025,0.316928,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182573,0.254962,0.296859,-0.470339,-2.596815,-0.080432,2.006256,0.577154,0.638522,0.013387,-0.769475,0,0.014744,-0.999868,-0.005161,0,-0.769458,-0.00805,-0.638647,0,0.232579,-0.095196,0.069496,1,-0.961009,-0.009963,0.082677,0.125158,-0.932122,-0.412376,0.345378,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182574,0.254962,0.296929,-0.470342,-2.596814,-0.080432,2.006289,0.577149,0.638495,0.013377,-0.769497,0,0.014749,-0.999868,-0.005143,0,-0.769479,-0.008066,-0.638621,0,0.232568,-0.095203,0.069479,1,-0.961072,-0.010003,0.082673,0.125161,-0.970311,-0.407109,0.359129,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182575,0.254965,0.297002,-0.470345,-2.596815,-0.080432,2.006322,0.57714,0.638465,0.013371,-0.769522,0,0.01476,-0.999868,-0.005127,0,-0.769504,-0.008085,-0.638591,0,0.232556,-0.095209,0.069461,1,-0.961144,-0.01004,0.082668,0.125164,-1.010266,-0.398987,0.357043,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182576,0.25496,0.29707,-0.470339,-2.596813,-0.080432,2.006353,0.577129,0.638438,0.01337,-0.769544,0,0.014773,-0.999868,-0.005116,0,-0.769526,-0.008102,-0.638564,0,0.232546,-0.095215,0.069444,1,-0.961203,-0.01007,0.082665,0.125166,-1.042346,-0.390569,0.337613,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182577,0.254967,0.297144,-0.470345,-2.596812,-0.080432,2.006383,0.577124,0.638407,0.013361,-0.76957,0,0.014782,-0.999868,-0.005096,0,-0.769552,-0.008122,-0.638533,0,0.232534,-0.095221,0.069426,1,-0.961271,-0.010106,0.082661,0.125169,-1.064613,-0.384842,0.307363,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182578,0.25496,0.297225,-0.470344,-2.59681,-0.080432,2.006417,0.577109,0.638373,0.013357,-0.769598,0,0.014791,-0.999868,-0.005084,0,-0.76958,-0.008137,-0.638499,0,0.23252,-0.095229,0.069407,1,-0.961348,-0.010155,0.082656,0.125172,-1.08041,-0.379518,0.28272,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182579,0.254962,0.297297,-0.470339,-2.59681,-0.080432,2.006447,0.577109,0.638342,0.013348,-0.769624,0,0.014802,-0.999868,-0.005064,0,-0.769605,-0.008159,-0.638468,0,0.232508,-0.095233,0.069389,1,-0.961416,-0.010178,0.082652,0.125175,-1.091614,-0.373154,0.275001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182580,0.254965,0.297366,-0.47034,-2.596802,-0.080432,2.00648,0.577094,0.638321,0.01335,-0.769642,0,0.014819,-0.999868,-0.005053,0,-0.769623,-0.00818,-0.638446,0,0.232501,-0.09524,0.069372,1,-0.961456,-0.010214,0.082649,0.125176,-1.099162,-0.369771,0.28142,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182581,0.254967,0.297444,-0.470341,-2.596804,-0.080433,2.00651,0.577093,0.638284,0.013338,-0.769673,0,0.014826,-0.999868,-0.005032,0,-0.769653,-0.0082,-0.638409,0,0.232487,-0.095246,0.069354,1,-0.961541,-0.010249,0.082644,0.12518,-1.104618,-0.370428,0.297888,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182582,0.254965,0.297511,-0.470347,-2.596801,-0.080432,2.006536,0.577085,0.638257,0.013327,-0.769696,0,0.014827,-0.999868,-0.005017,0,-0.769676,-0.008211,-0.638382,0,0.232476,-0.095254,0.069338,1,-0.961603,-0.010294,0.082641,0.125182,-1.107631,-0.370398,0.329157,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182583,0.254957,0.297578,-0.470342,-2.596796,-0.080432,2.006565,0.577071,0.638233,0.013326,-0.769716,0,0.014837,-0.999868,-0.005008,0,-0.769696,-0.008224,-0.638358,0,0.232467,-0.09526,0.069322,1,-0.961653,-0.010331,0.082638,0.125184,-1.107411,-0.364388,0.371905,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182584,0.254962,0.297656,-0.470341,-2.596796,-0.080432,2.006593,0.577067,0.638195,0.013319,-0.769747,0,0.01485,-0.999868,-0.004989,0,-0.769727,-0.008247,-0.63832,0,0.232453,-0.095265,0.069303,1,-0.961734,-0.01036,0.082633,0.125187,-1.104126,-0.355458,0.411985,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182585,0.254959,0.297724,-0.47034,-2.5968,-0.080432,2.006622,0.577056,0.638162,0.013316,-0.769774,0,0.014859,-0.999868,-0.004978,0,-0.769753,-0.008261,-0.638288,0,0.232439,-0.095271,0.069286,1,-0.961814,-0.010391,0.082628,0.125191,-1.090159,-0.351556,0.443817,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182586,0.254962,0.297795,-0.470346,-2.596798,-0.080433,2.006649,0.577057,0.638132,0.013299,-0.7698,0,0.014861,-0.999868,-0.004955,0,-0.769779,-0.008278,-0.638257,0,0.232427,-0.095278,0.06927,1,-0.961881,-0.010435,0.082624,0.125193,-1.058154,-0.352747,0.468954,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182587,0.254956,0.297863,-0.470339,-2.596794,-0.080433,2.006682,0.57705,0.638108,0.013296,-0.76982,0,0.014872,-0.999868,-0.004941,0,-0.769798,-0.008296,-0.638233,0,0.232419,-0.095283,0.069253,1,-0.961932,-0.010465,0.08262,0.125195,-1.017678,-0.355227,0.487968,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182588,0.254962,0.297938,-0.47034,-2.596791,-0.080432,2.006708,0.577042,0.638075,0.01329,-0.769847,0,0.014884,-0.999867,-0.004925,0,-0.769826,-0.008316,-0.6382,0,0.232407,-0.095288,0.069235,1,-0.961999,-0.010494,0.082616,0.125198,-0.980631,-0.359404,0.499129,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182589,0.254964,0.298014,-0.470336,-2.596789,-0.080433,2.006737,0.577036,0.638041,0.013287,-0.769875,0,0.014899,-0.999867,-0.004909,0,-0.769853,-0.008339,-0.638167,0,0.232395,-0.095294,0.069217,1,-0.962068,-0.010524,0.082612,0.125201,-0.951667,-0.367158,0.497175,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182590,0.254964,0.298091,-0.470339,-2.596795,-0.080433,2.006765,0.577029,0.638,0.013278,-0.769909,0,0.014905,-0.999867,-0.004892,0,-0.769887,-0.008355,-0.638125,0,0.232377,-0.0953,0.069198,1,-0.962168,-0.01056,0.082606,0.125205,-0.934795,-0.376164,0.484502,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182591,0.25496,0.298158,-0.470339,-2.596793,-0.080431,2.006796,0.577032,0.637976,0.013258,-0.76993,0,0.014902,-0.999867,-0.00487,0,-0.769907,-0.008367,-0.638101,0,0.232367,-0.095307,0.069182,1,-0.962226,-0.010598,0.082603,0.125207,-0.930023,-0.381659,0.464889,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182592,0.254962,0.298226,-0.470339,-2.596793,-0.080432,2.006826,0.577021,0.637947,0.013258,-0.769954,0,0.014917,-0.999867,-0.004858,0,-0.769931,-0.008386,-0.638072,0,0.232356,-0.095312,0.069165,1,-0.962291,-0.010629,0.082599,0.12521,-0.930955,-0.38392,0.432171,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182593,0.254962,0.298292,-0.470339,-2.596791,-0.080433,2.006859,0.577025,0.637923,0.013241,-0.769974,0,0.014919,-0.999867,-0.004834,0,-0.769951,-0.008404,-0.638048,0,0.232346,-0.095318,0.069148,1,-0.962347,-0.010664,0.082595,0.125212,-0.931926,-0.387215,0.378471,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182594,0.254964,0.298367,-0.470341,-2.596797,-0.080431,2.006888,0.57702,0.637886,0.013231,-0.770005,0,0.014924,-0.999867,-0.004817,0,-0.769981,-0.008419,-0.638011,0,0.23233,-0.095324,0.06913,1,-0.96244,-0.010696,0.082589,0.125216,-0.931183,-0.392222,0.304687,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182595,0.254957,0.298432,-0.470341,-2.596798,-0.080432,2.006925,0.577016,0.637864,0.013218,-0.770023,0,0.014926,-0.999867,-0.0048,0,-0.769999,-0.008432,-0.637989,0,0.23232,-0.095331,0.069113,1,-0.9625,-0.010739,0.082586,0.125218,-0.927084,-0.395091,0.224348,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182596,0.254959,0.298504,-0.470344,-2.596795,-0.08043,2.006957,0.577016,0.637838,0.013204,-0.770045,0,0.01493,-0.999867,-0.004778,0,-0.770021,-0.00845,-0.637963,0,0.23231,-0.095337,0.069096,1,-0.962558,-0.010775,0.082582,0.12522,-0.920105,-0.394204,0.149087,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182597,0.254959,0.298574,-0.470344,-2.596791,-0.080432,2.006994,0.577012,0.637815,0.013195,-0.770064,0,0.01494,-0.999867,-0.004758,0,-0.770039,-0.00847,-0.63794,0,0.232301,-0.095344,0.069078,1,-0.962608,-0.010815,0.082579,0.125222,-0.91624,-0.391408,0.088921,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182598,0.254956,0.298638,-0.47034,-2.596796,-0.080433,2.007025,0.577015,0.637787,0.013182,-0.770087,0,0.014944,-0.999867,-0.004739,0,-0.770062,-0.008486,-0.637912,0,0.232288,-0.095349,0.069062,1,-0.962681,-0.010841,0.082575,0.125225,-0.919597,-0.387738,0.051691,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182599,0.254967,0.298699,-0.470339,-2.596796,-0.080429,2.007059,0.577005,0.637768,0.013186,-0.770103,0,0.014963,-0.999867,-0.004728,0,-0.770078,-0.008508,-0.637892,0,0.232281,-0.095351,0.069046,1,-0.962725,-0.010854,0.082572,0.125227,-0.928262,-0.386983,0.032275,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182600,0.254959,0.298768,-0.470342,-2.596794,-0.08043,2.007092,0.577009,0.637743,0.013161,-0.770124,0,0.014956,-0.999867,-0.004703,0,-0.770099,-0.008519,-0.637868,0,0.23227,-0.09536,0.069029,1,-0.962786,-0.010904,0.082568,0.12523,-0.940466,-0.389712,0.027719,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182601,0.254959,0.29884,-0.470339,-2.596794,-0.080433,2.007132,0.577003,0.637719,0.013158,-0.770145,0,0.014971,-0.999867,-0.004686,0,-0.770119,-0.008542,-0.637843,0,0.23226,-0.095366,0.06901,1,-0.962846,-0.010939,0.082565,0.125232,-0.954276,-0.38924,0.039085,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5182602,0.254959,0.298913,-0.470338,-2.596796,-0.080432,2.007163,0.577007,0.637687,0.01314,-0.770171,0,0.014973,-0.999867,-0.004661,0,-0.770145,-0.008559,-0.637811,0,0.232246,-0.095371,0.068992,1,-0.962923,-0.010971,0.08256,0.125235,-0.966246,-0.385792,0.059878,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
