"{""a_max"":0.8",acc_x_max:10,acc_y_max:10,control_mode:1,damping_ratio:1.414,deadzone_position:0.002,deadzone_velocity:0.0,drawing_force_threshold_high:-0.5,drawing_force_threshold_low:-1.5,driving_force:5,"ds_system_file:""../generated_ds/PShape_Final.onnx""",dz:0.0,eigen_0:150,eigen_1:300,experiment_timelimit:30,initial_cartesian_pose:[0.573126,-0.00323033,-0.819449,0,-0.00695561,-0.999966,-0.000922836,0,-0.819434,0.00622879,-0.57314,0,0.235074,-0.0658581,0.0674098,1],initial_joint_pose:[0.487182,0.395801,-0.603417,-2.5447,0.0725013,1.91511,0.538146],initial_x_ds:-0.75,initial_y_ds:-0.58,max_tank_level:100000,maximum_force:15,maximum_iteration_no:80,move_to_paper_start_time:5,"output_filename:""../result/Recording_""",randomize_initial_pose:false,randomize_radius:0.03,"robot_ip:""192.168.3.100""",rotational_stiffness:[80,80,80],system_scale:9.091,target_x_ds:0,target_y_ds:0,time_step:0.001,translational_stiffness:[0,0,500],use_gripper:false,v_max:0.15,v_x_max:1,v_y_max:1,velocity_scale:2,z_elevation:0.0}
9314647,0.488578,0.444016,-0.595231,-2.543254,0.075988,1.91272,0.524856,0.536358,-0.002439,-0.843975,0,0.005954,-0.99995,0.006673,0,-0.843966,-0.008604,-0.536327,0,0.224171,-0.068469,0.058818,1,-0.849116,-0.603736,0.008055,0.055503,-0.59838,0.615786,-0.803135,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314648,0.488601,0.444015,-0.595183,-2.543243,0.076035,1.912701,0.524853,0.536354,-0.002399,-0.843978,0,0.005975,-0.99995,0.006639,0,-0.843969,-0.008604,-0.536323,0,0.224177,-0.06844,0.058816,1,-0.849067,-0.603477,0.008044,0.055852,-0.609363,0.589974,-0.800804,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314649,0.488612,0.444013,-0.595136,-2.543244,0.076078,1.912678,0.524857,0.536337,-0.002374,-0.843989,0,0.00598,-0.999951,0.006613,0,-0.843979,-0.008594,-0.536307,0,0.224175,-0.068415,0.058814,1,-0.849085,-0.603245,0.008034,0.056142,-0.612859,0.564439,-0.797066,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314650,0.488631,0.444007,-0.595086,-2.543235,0.076125,1.912655,0.524859,0.536331,-0.002338,-0.843993,0,0.005996,-0.999951,0.00658,0,-0.843983,-0.00859,-0.536301,0,0.224179,-0.068386,0.058813,1,-0.849044,-0.602984,0.008022,0.05649,-0.605201,0.547372,-0.792429,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314651,0.488644,0.444007,-0.595035,-2.543221,0.076173,1.912632,0.524855,0.536325,-0.0023,-0.843997,0,0.006011,-0.999951,0.006545,0,-0.843987,-0.008584,-0.536295,0,0.224185,-0.068359,0.058811,1,-0.848992,-0.602733,0.008011,0.056829,-0.592744,0.544979,-0.793925,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314652,0.48866,0.444008,-0.594984,-2.543218,0.076218,1.912607,0.524852,0.536308,-0.002264,-0.844008,0,0.006026,-0.999951,0.006511,0,-0.843998,-0.008578,-0.536278,0,0.224184,-0.068331,0.058809,1,-0.848998,-0.602483,0.008001,0.057147,-0.5863,0.557725,-0.802362,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314653,0.488681,0.444002,-0.594936,-2.543211,0.076266,1.912581,0.524857,0.536298,-0.002232,-0.844014,0,0.006039,-0.999951,0.006481,0,-0.844004,-0.008573,-0.536268,0,0.224187,-0.068302,0.058808,1,-0.848972,-0.602216,0.007989,0.057498,-0.585261,0.581698,-0.811444,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314654,0.488701,0.443995,-0.594896,-2.543202,0.076313,1.912557,0.524858,0.536295,-0.002203,-0.844016,0,0.006046,-0.999951,0.006452,0,-0.844006,-0.008563,-0.536266,0,0.224193,-0.068275,0.058808,1,-0.848923,-0.601977,0.007979,0.057821,-0.581618,0.61518,-0.823712,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314655,0.488719,0.443991,-0.594843,-2.54319,0.076357,1.912529,0.524855,0.536284,-0.002159,-0.844023,0,0.006069,-0.999951,0.006414,0,-0.844012,-0.008563,-0.536256,0,0.224197,-0.068246,0.058807,1,-0.848882,-0.601711,0.007967,0.058174,-0.574434,0.66088,-0.84577,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314656,0.48874,0.443991,-0.594793,-2.543185,0.076405,1.9125,0.524853,0.536266,-0.002121,-0.844035,0,0.006087,-0.999951,0.00638,0,-0.844024,-0.008559,-0.536238,0,0.224197,-0.068217,0.058805,1,-0.84888,-0.601445,0.007956,0.058516,-0.569532,0.71295,-0.873217,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314657,0.48876,0.443991,-0.594752,-2.54317,0.076448,1.91247,0.524853,0.536256,-0.002092,-0.844041,0,0.006099,-0.999952,0.006353,0,-0.84403,-0.008555,-0.536228,0,0.224202,-0.068192,0.058805,1,-0.848834,-0.601215,0.007946,0.058826,-0.574984,0.756883,-0.896469,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314658,0.488779,0.443988,-0.5947,-2.543165,0.076492,1.912441,0.524858,0.53624,-0.002057,-0.844052,0,0.006116,-0.999952,0.006323,0,-0.84404,-0.008553,-0.536212,0,0.224203,-0.068163,0.058804,1,-0.848826,-0.60095,0.007935,0.059168,-0.59527,0.789484,-0.915544,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314659,0.488797,0.443985,-0.594652,-2.543159,0.076535,1.912415,0.524851,0.536226,-0.002016,-0.84406,0,0.006136,-0.999952,0.006286,0,-0.844049,-0.00855,-0.536198,0,0.224205,-0.068135,0.058803,1,-0.848809,-0.600702,0.007924,0.05949,-0.620637,0.81874,-0.938518,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314660,0.488817,0.44398,-0.594607,-2.543149,0.076575,1.912387,0.524855,0.536216,-0.001983,-0.844067,0,0.006153,-0.999952,0.006258,0,-0.844055,-0.00855,-0.536188,0,0.224209,-0.068108,0.058803,1,-0.848773,-0.600458,0.007913,0.059815,-0.636884,0.849784,-0.969504,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314661,0.488834,0.443974,-0.594555,-2.543139,0.076617,1.912356,0.524855,0.536204,-0.001943,-0.844075,0,0.006173,-0.999952,0.006223,0,-0.844063,-0.008548,-0.536176,0,0.224213,-0.06808,0.058803,1,-0.848738,-0.600197,0.007902,0.06016,-0.638347,0.884179,-1.013194,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314662,0.488853,0.443975,-0.594504,-2.543131,0.07666,1.912326,0.524856,0.536185,-0.001907,-0.844087,0,0.006192,-0.999952,0.006192,0,-0.844074,-0.008547,-0.536158,0,0.224214,-0.068051,0.058801,1,-0.848731,-0.599939,0.007891,0.060494,-0.629698,0.921436,-1.078127,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314663,0.488874,0.443974,-0.594456,-2.543113,0.076699,1.912298,0.524854,0.536178,-0.001866,-0.844092,0,0.006219,-0.999952,0.006161,0,-0.844079,-0.008553,-0.536151,0,0.224221,-0.068024,0.0588,1,-0.848663,-0.599693,0.00788,0.060831,-0.6271,0.958413,-1.157795,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314664,0.488899,0.443969,-0.59441,-2.543111,0.076741,1.912267,0.524852,0.53616,-0.001827,-0.844103,0,0.006239,-0.999952,0.006127,0,-0.84409,-0.008552,-0.536133,0,0.224221,-0.067996,0.0588,1,-0.848664,-0.599434,0.007869,0.061162,-0.637438,0.995756,-1.239087,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314665,0.488916,0.443963,-0.594362,-2.543099,0.076782,1.912242,0.524853,0.536154,-0.00179,-0.844107,0,0.006258,-0.999952,0.006096,0,-0.844094,-0.008551,-0.536128,0,0.224227,-0.067969,0.0588,1,-0.848611,-0.599187,0.007859,0.061494,-0.647368,1.033923,-1.320214,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314666,0.488933,0.443966,-0.59431,-2.543093,0.076825,1.912213,0.524852,0.536132,-0.001754,-0.844121,0,0.006278,-0.999952,0.006065,0,-0.844108,-0.008551,-0.536106,0,0.224226,-0.067941,0.058798,1,-0.84862,-0.598934,0.007849,0.061816,-0.648564,1.066469,-1.393191,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314667,0.488963,0.443964,-0.594261,-2.543084,0.076864,1.912186,0.524855,0.536119,-0.001713,-0.844129,0,0.006309,-0.999952,0.006036,0,-0.844115,-0.008561,-0.536093,0,0.22423,-0.067911,0.058797,1,-0.848584,-0.598664,0.007837,0.062173,-0.644536,1.088288,-1.439068,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314668,0.488983,0.443956,-0.594216,-2.543079,0.076906,1.912155,0.524856,0.536105,-0.001678,-0.844138,0,0.006324,-0.999952,0.006004,0,-0.844124,-0.008557,-0.536079,0,0.224231,-0.067883,0.058797,1,-0.848572,-0.598413,0.007826,0.062499,-0.635531,1.100578,-1.452587,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314669,0.489005,0.443961,-0.594165,-2.543066,0.076946,1.912126,0.524849,0.536087,-0.001631,-0.84415,0,0.006355,-0.999952,0.005969,0,-0.844135,-0.008565,-0.536062,0,0.224234,-0.067856,0.058796,1,-0.848544,-0.59816,0.007815,0.062831,-0.622584,1.105159,-1.444703,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314670,0.489023,0.443949,-0.594112,-2.543055,0.076986,1.912091,0.524855,0.536077,-0.001594,-0.844156,0,0.006374,-0.999952,0.005936,0,-0.844142,-0.008563,-0.536052,0,0.22424,-0.067826,0.058797,1,-0.848496,-0.597889,0.007804,0.063194,-0.612921,1.098879,-1.427686,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314671,0.489051,0.443951,-0.594064,-2.54305,0.077026,1.912062,0.524855,0.536055,-0.001554,-0.84417,0,0.006402,-0.999952,0.005907,0,-0.844155,-0.008571,-0.53603,0,0.224239,-0.067797,0.058796,1,-0.848499,-0.597627,0.007793,0.063527,-0.609958,1.079597,-1.407469,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314672,0.489077,0.443945,-0.594009,-2.543041,0.077067,1.912029,0.524851,0.53604,-0.001503,-0.84418,0,0.006436,-0.999952,0.005867,0,-0.844165,-0.008579,-0.536015,0,0.224243,-0.067766,0.058796,1,-0.848468,-0.59734,0.007781,0.063905,-0.612459,1.052224,-1.3832,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314673,0.489099,0.443944,-0.593961,-2.543038,0.077109,1.911999,0.524851,0.536019,-0.001466,-0.844193,0,0.006456,-0.999953,0.005835,0,-0.844178,-0.008578,-0.535995,0,0.224242,-0.067737,0.058795,1,-0.848475,-0.597084,0.007771,0.06423,-0.618004,1.024611,-1.355202,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314674,0.489124,0.443942,-0.593912,-2.543031,0.077151,1.911966,0.524855,0.536,-0.001429,-0.844205,0,0.006479,-0.999953,0.005807,0,-0.84419,-0.008582,-0.535976,0,0.224243,-0.067708,0.058794,1,-0.848465,-0.596817,0.00776,0.064576,-0.623074,1.0004,-1.326138,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314675,0.48915,0.443943,-0.59386,-2.543018,0.077196,1.911934,0.524859,0.535984,-0.001393,-0.844216,0,0.006502,-0.999953,0.005778,0,-0.8442,-0.008587,-0.53596,0,0.224247,-0.067678,0.058793,1,-0.848432,-0.596542,0.007748,0.064937,-0.626313,0.973528,-1.294922,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314676,0.48917,0.443934,-0.593802,-2.543015,0.077234,1.911904,0.52485,0.535967,-0.001336,-0.844226,0,0.006537,-0.999953,0.005733,0,-0.84421,-0.008592,-0.535943,0,0.224248,-0.067647,0.058793,1,-0.848422,-0.596261,0.007736,0.065301,-0.62909,0.940783,-1.258993,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314677,0.48919,0.443933,-0.593747,-2.543006,0.077277,1.911874,0.524856,0.53595,-0.0013,-0.844237,0,0.006559,-0.999953,0.005704,0,-0.844221,-0.008594,-0.535927,0,0.22425,-0.067617,0.058792,1,-0.848401,-0.595987,0.007725,0.065658,-0.63367,0.914078,-1.213453,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314678,0.489215,0.443935,-0.593699,-2.542993,0.077322,1.911845,0.52486,0.535937,-0.001267,-0.844246,0,0.006579,-0.999953,0.005677,0,-0.844229,-0.008597,-0.535913,0,0.224254,-0.067588,0.05879,1,-0.848366,-0.595725,0.007714,0.066005,-0.642682,0.90416,-1.149344,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314679,0.489238,0.443936,-0.59364,-2.542986,0.077365,1.911815,0.524859,0.535917,-0.001221,-0.844259,0,0.00661,-0.999953,0.005642,0,-0.844242,-0.008605,-0.535894,0,0.224255,-0.067556,0.058788,1,-0.848357,-0.595439,0.007703,0.066373,-0.656237,0.904172,-1.069899,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314680,0.489261,0.443933,-0.593587,-2.542974,0.077413,1.911786,0.524853,0.535906,-0.001174,-0.844266,0,0.006635,-0.999953,0.005602,0,-0.844248,-0.008604,-0.535883,0,0.22426,-0.067526,0.058787,1,-0.848313,-0.595159,0.007691,0.066745,-0.674052,0.907439,-0.990739,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314681,0.489283,0.443932,-0.593537,-2.54297,0.07746,1.911757,0.524856,0.535888,-0.00114,-0.844277,0,0.006651,-0.999953,0.005572,0,-0.84426,-0.008602,-0.535865,0,0.22426,-0.067496,0.058786,1,-0.848311,-0.59489,0.00768,0.06709,-0.693458,0.92024,-0.925196,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314682,0.489313,0.443924,-0.593483,-2.542966,0.077508,1.911724,0.524861,0.535871,-0.001098,-0.844288,0,0.006676,-0.999953,0.005538,0,-0.84427,-0.008604,-0.535849,0,0.224261,-0.067462,0.058786,1,-0.848299,-0.594583,0.007668,0.067486,-0.706605,0.944838,-0.885508,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314683,0.489336,0.443926,-0.593425,-2.542951,0.077552,1.911698,0.524863,0.535859,-0.001054,-0.844295,0,0.006708,-0.999953,0.005506,0,-0.844278,-0.008614,-0.535837,0,0.224267,-0.067431,0.058783,1,-0.848249,-0.594299,0.007656,0.067866,-0.713963,0.971878,-0.877919,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314684,0.489361,0.443928,-0.59337,-2.542944,0.077605,1.91167,0.524858,0.535842,-0.001011,-0.844306,0,0.006729,-0.999953,0.005468,0,-0.844288,-0.008612,-0.53582,0,0.224268,-0.067399,0.058781,1,-0.848238,-0.594008,0.007645,0.068242,-0.723265,0.990792,-0.889322,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314685,0.489384,0.443923,-0.59331,-2.542937,0.077655,1.911645,0.524859,0.535832,-0.000966,-0.844313,0,0.006755,-0.999953,0.005431,0,-0.844294,-0.008613,-0.535811,0,0.224272,-0.067365,0.058779,1,-0.848203,-0.593703,0.007633,0.068643,-0.734358,0.997164,-0.902954,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314686,0.489409,0.443926,-0.593255,-2.542929,0.077706,1.91162,0.524867,0.535818,-0.000933,-0.844322,0,0.006774,-0.999953,0.005404,0,-0.844303,-0.008615,-0.535797,0,0.224274,-0.067334,0.058776,1,-0.848181,-0.593416,0.007621,0.069016,-0.743433,0.991789,-0.912591,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314687,0.489435,0.443923,-0.593198,-2.542921,0.077761,1.911596,0.524864,0.535808,-0.000887,-0.844328,0,0.006797,-0.999953,0.005364,0,-0.844309,-0.008613,-0.535787,0,0.224278,-0.0673,0.058774,1,-0.848148,-0.59311,0.007609,0.069418,-0.752434,0.978847,-0.916466,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314688,0.489463,0.44392,-0.593143,-2.542911,0.077814,1.91157,0.52486,0.535799,-0.00084,-0.844334,0,0.006823,-0.999953,0.005324,0,-0.844315,-0.008614,-0.535778,0,0.224282,-0.067267,0.058772,1,-0.848106,-0.592806,0.007596,0.06982,-0.762541,0.961088,-0.92067,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314689,0.489486,0.443922,-0.593083,-2.542903,0.077867,1.911544,0.524862,0.535784,-0.000799,-0.844343,0,0.006845,-0.999953,0.00529,0,-0.844324,-0.008614,-0.535763,0,0.224285,-0.067234,0.058769,1,-0.848086,-0.592504,0.007585,0.070212,-0.767139,0.939705,-0.930572,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314690,0.489505,0.443917,-0.593025,-2.542895,0.077923,1.911519,0.524868,0.535775,-0.000765,-0.844349,0,0.006857,-0.999953,0.005257,0,-0.844329,-0.008606,-0.535755,0,0.224288,-0.0672,0.058767,1,-0.848052,-0.592202,0.007573,0.070609,-0.765436,0.91891,-0.942778,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314692,0.489552,0.443908,-0.592902,-2.542876,0.07804,1.91147,0.524863,0.53576,-0.00067,-0.844358,0,0.0069,-0.999953,0.005172,0,-0.844339,-0.008598,-0.535741,0,0.224298,-0.06713,0.058762,1,-0.847965,-0.591563,0.007544,0.071416,-0.768996,0.891441,-0.974095,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314693,0.489577,0.443908,-0.592843,-2.542868,0.078101,1.911446,0.524864,0.535752,-0.000631,-0.844364,0,0.006916,-0.999953,0.005135,0,-0.844344,-0.008591,-0.535732,0,0.224302,-0.067095,0.058759,1,-0.84793,-0.591247,0.007535,0.071868,-0.770619,0.887867,-0.992583,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314694,0.489602,0.443907,-0.592782,-2.542863,0.078162,1.91142,0.524874,0.535737,-0.000598,-0.844373,0,0.006929,-0.999953,0.005104,0,-0.844353,-0.008585,-0.535718,0,0.224303,-0.06706,0.058756,1,-0.847918,-0.590923,0.007522,0.072285,-0.772349,0.89405,-1.007585,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9314695,0.489624,0.443904,-0.592718,-2.542854,0.078228,1.911393,0.52487,0.535727,-0.000551,-0.84438,0,0.006945,-0.999953,0.005059,0,-0.844359,-0.008575,-0.535709,0,0.224307,-0.067023,0.058753,1,-0.847882,-0.590589,0.00751,0.072723,-0.772726,0.911335,-1.016445,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
